Lambda,flux
0,0.9796154018772281
0.012345679012345675,0.9680714640298976
0.01652968026203051,0.9649979776285861
0.022131656694761862,0.9611991900700771
0.029632165915508712,0.9565154904068386
0.03967462847243862,0.9507498002309565
0.053120522776305294,0.9436600729821955
0.07112328580438315,0.934951393079652
0.09522725905604887,0.9242681290117278
0.1275001676985091,0.911187268601536
0.17071049743834185,0.8952146155601803
0.22856498514226561,0.875786219518947
0.30602659600329,0.852279025197453
0.4097402644725698,0.8240372583626099
0.5486029205391234,0.7904229711066952
0.7345267002535554,0.7508984504497151
0.9834608114283645,0.7051436772750326
1.3167597138149842,0.6532023460466991
1.7630149811540443,0.595632599170268
2.360507988787337,0.5336147587888636
3.1604938271604937,0.4689516013289774
