Lambda,flux
0,0.9794629172501189
4.213991769547324,0.46892789675405894
8.427983539094647,0.3182835864680065
16.855967078189295,0.19427180333457447
33.71193415637859,0.1092836279066633
67.42386831275718,0.05830183211953628
134.84773662551436,0.030163228007281936
269.6954732510287,0.015348399953073067
539.3909465020574,0.0077427197745613095
1078.7818930041149,0.003888725088956989
2157.5637860082297,0.001948733739501024
4315.127572016459,0.0009754634340400613
8630.255144032919,0.0004880063256324046
17260.510288065838,0.00024407187415623964
34521.020576131676,0.00012205312231911444
69042.04115226335,6.103085839597861e-05
