Lambda,flux
0,9.793831970914868
3.0517578125e-05,9.792856528466515
6.103515625e-05,9.791581782358257
0.0001220703125,9.789189085950618
0.000244140625,9.784364359820236
0.00048828125,9.775342556586583
0.0009765625,9.757660665104858
0.001953125,9.723997249488908
0.00390625,9.66134547883604
0.0078125,9.54839829745046
0.015625,9.354788038338755
0.03125,9.044553354185883
0.0625,8.580785142435456
0.125,7.921729942713042
0.25,7.015975490574503
0.5,5.828701089815004
1.0,4.420145380619471
2.0,3.0036535432414886
4.0,1.8363336258838618
8.0,1.0343164246948358
16.0,0.5522500858159762
32.0,0.2858445542892569
64.0,0.1454851779980342
128.0,0.07340161517637847
256.0,0.036867895630979704
512.0,0.01847591104752637
0.03703703703703703,8.946527561577842
2.37037037037037,2.6867217673085575
