Lambda,flux
0,9.793831970914868
0.037037037037037035,8.946522469781488
0.04404470796306374,8.83650234499461
0.05237828008789241,8.715707500315732
0.062288623352127,8.583491202013603
0.07407407407407407,8.439140285792833
0.0880894159261275,8.281927442581905
0.10475656017578483,8.111024430868184
0.12457724670425396,7.92550372246281
0.14814814814814814,7.724601497495033
0.17617883185225497,7.507355334349854
0.20951312035156963,7.273059475832539
0.249154493408508,7.021080419812502
0.2962962962962962,6.751039308239142
0.3523576637045099,6.462960088418772
0.4190262407031392,6.157307172127222
0.49830898681701596,5.835142583678413
0.5925925925925926,5.498217782740809
0.7047153274090198,5.149008298854598
0.8380524814062784,4.79076074882089
0.9966179736340319,4.427286139286641
1.1851851851851851,4.062926402519687
1.4094306548180398,3.702284132685253
1.676104962812557,3.3499319097692055
1.993235947268064,3.010144481247578
2.37037037037037,2.686720135551691
