Lambda,flux
0,9.793765373181293
0.037037037037037035,8.946479363592548
0.012345679012345678,9.431805625853045
0.00411522633744856,9.654868447643269
0.0013717421124828531,9.74366178944271
0.0004572473708276177,9.776323507662415
0.00015241579027587258,9.787867785993662
5.080526342529086e-05,9.791870363117644
1.6935087808430286e-05,9.793166730109645
5.645029269476762e-06,9.79367973636272
1.8816764231589208e-06,9.793805370450775
6.272254743863069e-07,9.793688058906673
2.0907515812876897e-07,9.793685164757457
6.969171937625632e-08,9.793563473049106
2.3230573125418773e-08,9.79363929681508
7.743524375139592e-09,9.793596798527178
2.581174791713197e-09,9.793580909117022
8.603915972377324e-10,9.793765373181293
