Lambda,flux
0.037037037037037035,0.9632975832645255
0.04775291865030167,0.9557917649563513
0.061569213469802916,0.9467673468879232
0.07938296033903704,0.9359938612002092
0.10235073727683436,0.9232188584518958
0.1319637536364349,0.9081668678793625
0.17014466858910643,0.8905403157944594
0.21937242198378976,0.8700265595198718
0.28284318237001227,0.8463031305899434
0.36467786191970614,0.8190707235843163
0.47018967139307744,0.7880597375978535
0.606229086462634,0.7530763682013591
0.7816286227310152,0.71403343795326
1.0077762969725812,0.6710159827472805
1.299355007229916,0.6242918438971161
1.6752958368690334,0.5743548779442399
2.1600071769562925,0.5219697043071985
2.7849594691420645,0.4681237834121421
3.5907284603068637,0.41401083078773243
4.62962962962963,0.3609248584351798
