Lambda,flux
0,0.9981333641671646
0.0625,0.942850139242424
0.0754728369981169,0.9328249665991271
0.09113838599270917,0.9211990539849814
0.11005556080478723,0.9077733182562616
0.1328992864216968,0.8923719893284948
0.16048457890033233,0.8747946751668865
0.19379562342489942,0.8548580519420715
0.23402088796313406,0.8323973635570631
0.28259552530233906,0.8072789426018128
0.3412525762806505,0.7794140567069245
0.4120848010370718,0.7487752065218055
0.4976193442891576,0.7154115592140091
0.6009078985383267,0.6794547557123294
0.7256355820362256,0.6411602539119168
0.8762524160488597,0.6008700088956304
1.0581320922505872,0.5590092314384567
1.2777636947344793,0.5161114257021059
1.542983216876911,0.4727659486979798
1.8632531330908986,0.42959707912717615
2.25,0.3872309770326787
