Lambda,flux
0,0.9981309354071446
3.0517578125e-05,0.9980977273255425
6.103515625e-05,0.9980652554214501
0.0001220703125,0.9980009258311435
0.000244140625,0.997872941316202
0.00048828125,0.9976193789829257
0.0009765625,0.9971170394152974
0.001953125,0.9961207046789256
0.00390625,0.994158758818639
0.0078125,0.9903153946092507
0.015625,0.9828757159458862
0.03125,0.9687577174236137
0.0625,0.9428417196300821
0.125,0.8976013236285615
0.25,0.8239034204734791
0.5,0.7145259127335867
1.0,0.5716784368041672
2.0,0.4135568799426848
4.0,0.2687408937503065
8.0,0.1588179581241027
16.0,0.08752221728346181
32.0,0.04614536732762516
64.0,0.023723042686884174
128.0,0.012031748944099677
256.0,0.006059357003393882
512.0,0.003040673072305851
0.0625,0.9428416442074218
2.25,0.3872272305282185
