Lambda,flux,DL_p/Lambda
1.0,0.7265556304606723,3.0137174211248285
1.1438369586517734,0.7019125676318514,2.6347438752783967
1.287673917303547,0.6791282282836368,2.3404352457768987
1.4315108759553203,0.6579722900462064,2.1052703627652294
1.575347834607094,0.6382538368348603,1.9130488866774473
1.7191847932588673,0.6198131481236977,1.752992134959535
1.8630217519106407,0.6025155553663852,1.6176501525191964
2.0068587105624145,0.5862463840734138,1.501708817498291
2.150695669214188,0.5709071928551442,1.40127562642369
2.2945326278659612,0.5564128990977266,1.3134341105132803
2.4383695865177346,0.5426893541303951,1.2359559591738327
2.582206545169508,0.5296715644425424,1.1671093572133264
2.7260435038212814,0.5173022493347932,1.1055279994249156
2.8698804624730547,0.5055306050071177,1.0501194947080916
3.0137174211248285,0.4943114295463539,1.0
