Lambda,flux
3.0517578125e-05,0.9949643991722557
6.103515625e-05,0.9949272772320228
0.0001220703125,0.9948553652777493
0.000244140625,0.9947154931149808
0.00048828125,0.9944421750451569
0.0009765625,0.9939119502484768
0.001953125,0.9928832767486462
0.00390625,0.9909005405635396
0.0078125,0.9871296057628763
0.015625,0.9801230749817575
0.03125,0.9675759934612508
0.0625,0.9461856469295687
0.125,0.9115913045121574
0.25,0.8582670895020824
0.5,0.7799998557236933
1.0,0.6724307666835477
2.0,0.5380828530943863
4.0,0.39129346658878383
8.0,0.2559621299189591
16.0,0.15206404267475404
32.0,0.08407894269334978
64.0,0.044412569741549036
128.0,0.02285469962533675
256.0,0.011597119639544823
512.0,0.005842014811192449
