point,alpha,c
[0.99833333 0.        ],1.001631063726097,0.0003396056620586803
[0.995 0.   ],1.0016562367432533,0.0010188411508182647
[0.99166667 0.        ],1.0016508669293913,0.0016979595812648795
[0.98833333 0.        ],1.001613128555154,0.0023767735215521005
[0.985 0.   ],1.0015420091183735,0.0030550921522994683
[0.98166667 0.        ],1.001469835991286,0.0037330297526983708
[0.97833333 0.        ],1.0013935595174503,0.004410533080151265
[0.975 0.   ],1.0013181203498338,0.005087609303079507
[0.97166667 0.        ],1.001240476312695,0.0057642093448153015
[0.96833333 0.        ],1.0011585260285978,0.006440282319540241
[0.965 0.   ],1.0010728039285899,0.0071158027226548405
[0.96166667 0.        ],1.0009836311588496,0.007790746477366189
[0.95833333 0.        ],1.000891196889764,0.008465090732636902
[0.955 0.   ],1.0007956035053234,0.009138813661900185
[0.95166667 0.        ],1.000696893104091,0.009811817618422241
[0.94833333 0.        ],1.000595063749303,0.010484139644020963
[0.945 0.   ],1.0004900798160423,0.011155768005905503
[0.94166667 0.        ],1.0003818787964562,0.0118266793590274
[0.93833333 0.        ],1.0002703759034086,0.012496851236005066
[0.935 0.   ],1.000155467263297,0.013166261904513298
[0.93166667 0.        ],1.0000370321802652,0.013834890225105463
[0.92833333 0.        ],0.9999149347748559,0.014502715509530051
[0.925 0.   ],0.999789025192325,0.015169717379589826
[0.92166667 0.        ],0.9996591405095805,0.0158358756265942
[0.91833333 0.        ],0.9995251054275616,0.01650117007144741
[0.915 0.   ],0.9993867328087652,0.017165580425421347
[0.91166667 0.        ],0.9992438241015644,0.01782908615165551
[0.90833333 0.        ],0.9990961998949793,0.018491668877568593
[0.905 0.   ],0.9989438212459645,0.019153323296559624
[0.90166667 0.        ],0.9987864333822621,0.01981402706763515
[0.89833333 0.        ],0.9986238436265755,0.020473763535147866
[0.895 0.   ],0.9984558676259613,0.021132517481985864
[0.89166667 0.        ],0.9982823275723517,0.021790275080145728
[0.88833333 0.        ],0.9981030507520267,0.022447023841551315
[0.885 0.   ],0.9979178683577524,0.023102752569129862
[0.88166667 0.        ],0.9977266145122279,0.02375745130815753
[0.87833333 0.        ],0.9975291254627479,0.024411111297886076
[0.875 0.   ],0.9973252389155306,0.02506372492346132
[0.87166667 0.        ],0.9971147934847111,0.025715285668142733
[0.86833333 0.        ],0.9968976282360776,0.0263657880658359
[0.865 0.   ],0.9966735823095336,0.027015227653944485
[0.86166667 0.        ],0.9964424946073918,0.02766360092655298
[0.85833333 0.        ],0.9962042035379932,0.02831090528794686
[0.855 0.   ],0.9959585468060981,0.02895713900647798
[0.85166667 0.        ],0.9957053612430251,0.029602301168784186
[0.84833333 0.        ],0.9954444826707292,0.03024639163436702
[0.845 0.   ],0.9951753492312547,0.03088936356982727
[0.84166667 0.        ],0.9948962923118986,0.03153103193546393
