point,alpha,c
[0.98333333 0.        ],0.9999860248684704,0.0033780262520594516
[0.95 0.  ],0.9999897020747457,0.010132294943349508
[0.91666667 0.        ],0.999982282190034,0.01688891941250222
[0.88333333 0.        ],0.9999817081824409,0.02366467782357209
[0.85 0.  ],0.9999686468499671,0.030497478360620563
[0.81666667 0.        ],0.9999579109463212,0.03747227999719521
[0.78333333 0.        ],0.9999366397135625,0.04477769731329733
[0.75 0.  ],0.9998890573459228,0.052898089340087565
[0.71666667 0.        ],0.9997247893299143,0.06341624821154644
[0.68333333 0.        ],0.9973679181955899,0.08544475952742844
[0.31666667 0.        ],0.9973517801584351,0.08543580282175785
[0.28333333 0.        ],0.9997176831993024,0.06341359136891976
[0.25 0.  ],0.9998933534177799,0.05289908260944276
[0.21666667 0.        ],0.9999308025136127,0.04477637931362442
[0.18333333 0.        ],0.999961623836613,0.03747283797916019
[0.15 0.  ],0.9999691840318253,0.030497474638963844
[0.11666667 0.        ],0.9999818351508883,0.023664696957907246
[0.08333333 0.        ],0.9999821782575281,0.01688890432081215
[0.05 0.  ],0.9999899460750065,0.010132302885368228
[0.01666667 0.        ],0.9999864364861923,0.0033780294697859895
[ 0.66666667 -0.00555556],0.9754547439350142,0.08784540648188278
[ 0.66666667 -0.01666667],0.9959876542101211,0.06470564071196934
[ 0.66666667 -0.02777778],0.9983150435432896,0.05121867968608366
[ 0.66666667 -0.03888889],0.9989963033818905,0.04261504447383703
[ 0.66666667 -0.05      ],0.9992980233376096,0.03646586697474814
[ 0.66666667 -0.06111111],0.9994254376285219,0.03178719978225829
[ 0.66666667 -0.07222222],0.9994620775898839,0.02813855708211469
[ 0.66666667 -0.08333333],0.9993469193147672,0.025341644621204737
[ 0.66666667 -0.09444444],0.9985161366643608,0.023483893665818555
[ 0.66666667 -0.10555556],0.9861247500567651,0.02281382342317573
[ 0.66666667 -0.22777778],0.9797062166236558,0.00805876485683903
[ 0.66666667 -0.23888889],0.9969248706060235,0.006173158314266248
[ 0.66666667 -0.25      ],0.9987728701241075,0.004928668817515273
[ 0.66666667 -0.26111111],0.9993482265673032,0.004011237500584719
[ 0.66666667 -0.27222222],0.9995480729185828,0.003250159513662128
[ 0.66666667 -0.28333333],0.9996100312550268,0.002578674967531343
[ 0.66666667 -0.29444444],0.9997122869316297,0.0019633614915510324
[ 0.66666667 -0.30555556],0.9997458724376836,0.001382046881644614
[ 0.66666667 -0.31666667],0.9997960642120827,0.0008218600866694789
[ 0.66666667 -0.32777778],0.9997904912533627,0.00027276441199934284
[ 0.66111111 -0.33333333],1.0002256636186626,0.00027333296013449246
[ 0.65       -0.33333333],1.0002333629148332,0.0008164937158325375
[ 0.63888889 -0.33333333],1.000186602533088,0.0013494902878917311
[ 0.62777778 -0.33333333],1.0001395139493658,0.001867840054112364
[ 0.61666667 -0.33333333],1.0001049370928172,0.0023702410748314574
[ 0.60555556 -0.33333333],1.0000031009379757,0.0028590186902643974
[ 0.59444444 -0.33333333],0.9998426923645397,0.0033461429578369897
[ 0.58333333 -0.33333333],0.9994734042793044,0.0038618039682832665
[ 0.57222222 -0.33333333],0.9980753165727524,0.004490433744379249
[ 0.56111111 -0.33333333],0.982553569562877,0.005372237430071606
[ 0.43888889 -0.33333333],0.982521393547417,0.005371190013576572
[ 0.42777778 -0.33333333],0.9980488761959327,0.00448980692950874
[ 0.41666667 -0.33333333],0.9994909791729422,0.003862129822317143
[ 0.40555556 -0.33333333],0.9998470837252244,0.0033461807340418965
[ 0.39444444 -0.33333333],0.9999927270204355,0.0028588718883377374
[ 0.38333333 -0.33333333],1.0000944291663607,0.0023701017993164966
[ 0.37222222 -0.33333333],1.000141879749591,0.0018678671981775614
[ 0.36111111 -0.33333333],1.0001774027060264,0.0013494214765880583
[ 0.35       -0.33333333],1.0001935932444916,0.000816342263256483
[ 0.33888889 -0.33333333],1.0002719014572188,0.0002733830625642946
[ 0.33333333 -0.32777778],0.9997436334096724,0.0002726823285369696
[ 0.33333333 -0.31666667],0.9997574075630687,0.0008217173574146392
[ 0.33333333 -0.30555556],0.9997612864092674,0.00138214637038484
[ 0.33333333 -0.29444444],0.9997085992609674,0.001963354422812926
[ 0.33333333 -0.28333333],0.9996427369070771,0.0025791289498214606
[ 0.33333333 -0.27222222],0.999542734295075,0.003250108328367589
[ 0.33333333 -0.26111111],0.9992975436401172,0.004010069008362074
[ 0.33333333 -0.25      ],0.9989036024809469,0.004932193512089913
[ 0.33333333 -0.23888889],0.9970874786619145,0.006178704759917715
[ 0.33333333 -0.22777778],0.9795736730283637,0.008052501636611057
[ 0.33333333 -0.10555556],0.9861199578765002,0.022813047093825048
[ 0.33333333 -0.09444444],0.9984699109129666,0.02347785072290853
[ 0.33333333 -0.08333333],0.9993552478143484,0.025342701351867065
[ 0.33333333 -0.07222222],0.9994643976116802,0.02813884878623682
[ 0.33333333 -0.06111111],0.9994050293680222,0.03178394702163572
[ 0.33333333 -0.05      ],0.9993220396988551,0.03647038706287286
[ 0.33333333 -0.03888889],0.9989689266799987,0.04260865103271839
[ 0.33333333 -0.02777778],0.9983794038809505,0.051236051997826416
[ 0.33333333 -0.01666667],0.9959606089884233,0.0646956221555857
