point,alpha,c
[0.24083333 0.        ],0.9956112823377822,0.04943552542487482
[0.23916667 0.        ],0.9957720364999777,0.04906756262582268
[0.2375 0.    ],0.9959304273178602,0.04870151853790059
[0.23583333 0.        ],0.9960739536879526,0.04833508918726907
[0.23416667 0.        ],0.9962106786847467,0.04796969567106208
[0.2325 0.    ],0.9963407582060545,0.047605268517837515
[0.23083333 0.        ],0.996466802272585,0.04724208183548817
[0.22916667 0.        ],0.9965887515179173,0.04688010824254159
[0.2275 0.    ],0.9967065745049051,0.04651930586804212
[0.22583333 0.        ],0.9968202675034628,0.04615949139526922
[0.22416667 0.        ],0.9969298542395809,0.04580060971765954
[0.2225 0.    ],0.9970353856159903,0.0454426138424969
[0.22083333 0.        ],0.9971369394047358,0.04508546458148149
[0.21916667 0.        ],0.9972346199117913,0.04472913023913251
[0.2175 0.    ],0.9973278536831589,0.044373409411739326
[0.21583333 0.        ],0.9974171409759304,0.04401837444224383
[0.21416667 0.        ],0.9975025950667051,0.04366399948414563
[0.2125 0.    ],0.99758432625405,0.04331025861783131
[0.21083333 0.        ],0.9976624494889648,0.04295712777941473
[0.20916667 0.        ],0.9977370837559608,0.0426045846067247
[0.2075 0.    ],0.9978083514259204,0.042252608285204614
[0.20583333 0.        ],0.9978763775793867,0.04190117939375664
[0.20416667 0.        ],0.9979412892988069,0.04155027975056028
[0.2025 0.    ],0.9980032149281151,0.04119989225888969
[0.20083333 0.        ],0.9980622832979177,0.040850000752956354
[0.19916667 0.        ],0.9981186229144086,0.04050058984379875
[0.1975 0.    ],0.9981724390530281,0.0401516603184826
[0.19583333 0.        ],0.9982240713202842,0.03980323987384321
[0.19416667 0.        ],0.9982734114873048,0.039455267813688945
[0.1925 0.    ],0.9983205635001521,0.0391077272097559
[0.19083333 0.        ],0.9983656357068408,0.038760603052419275
[0.18916667 0.        ],0.9984087410015992,0.03841388224911547
[0.1875 0.    ],0.9984500215309187,0.03806755826767058
[0.18583333 0.        ],0.9984897745058965,0.03772165447873095
[0.18416667 0.        ],0.9985280554371919,0.03737614913231314
[0.1825 0.    ],0.9985649918880417,0.03703103518333797
[0.18083333 0.        ],0.9986007087398424,0.03668630605383113
[0.17916667 0.        ],0.9986353277412124,0.03634195558071394
[0.1775 0.    ],0.9986689670344486,0.03599797796371322
[0.17583333 0.        ],0.9987017406577386,0.03565436771338409
[0.17416667 0.        ],0.9987337580213392,0.035311119599235885
[0.1725 0.    ],0.9987651233557846,0.03496822859795034
[0.17083333 0.        ],0.9987959351300756,0.034625689841681864
[0.16916667 0.        ],0.9988262854375755,0.03428349856642407
[0.1675 0.    ],0.9988562593472333,0.03394165006043218
[0.16583333 0.        ],0.9988859342174895,0.033600139612680914
[0.16416667 0.        ],0.9989153789700873,0.03325896246134621
[0.1625 0.    ],0.9989446533207165,0.032918113742287244
[0.16083333 0.        ],0.9989736869417079,0.03257756629528071
[0.15916667 0.        ],0.9990021498810686,0.032237248270723426
[0.1575 0.    ],0.9990301369064389,0.03189716925205675
[0.15583333 0.        ],0.9990575913815677,0.03155731321554707
[0.15416667 0.        ],0.9990844346688749,0.031217662872745133
[0.1525 0.    ],0.999110564246781,0.03087819956086157
[0.15083333 0.        ],0.9991358517039549,0.03053890313317819
[0.14916667 0.        ],0.999160140601001,0.030199751849529197
[0.1475 0.    ],0.9991832441893777,0.02986068964214249
[0.14583333 0.        ],0.999204942976368,0.029521657658968053
[0.14416667 0.        ],0.9992249821240875,0.029182665372996994
[0.1425 0.    ],0.9992430686693471,0.028843682384972726
[0.14083333 0.        ],0.9992604590119167,0.028504806937715708
[0.13916667 0.        ],0.9992779316351128,0.02816612224159896
[0.1375 0.    ],0.9992978775039986,0.027827892877611487
[0.13583333 0.        ],0.9993186158882608,0.02748991209865497
[0.13416667 0.        ],0.9993369719264624,0.027151806547807873
[0.1325 0.    ],0.9993552076379756,0.02681382159658163
[0.13083333 0.        ],0.9993730002149038,0.02647592279040429
[0.12916667 0.        ],0.9993903510834047,0.02613810520789073
[0.1275 0.    ],0.9994072617841447,0.025800364058624164
[0.12583333 0.        ],0.9994237339781901,0.025462694683137183
[0.12416667 0.        ],0.999439769453457,0.025125092552897053
[0.1225 0.    ],0.9994553701317036,0.0247875532702891
[0.12083333 0.        ],0.999470538076124,0.02445007256859902
[0.11916667 0.        ],0.9994852754996453,0.024112646311997738
[0.1175 0.    ],0.9994995847739452,0.023775270495524244
[0.11583333 0.        ],0.9995134684392836,0.02343794124506818
[0.11416667 0.        ],0.9995269292152559,0.0231006548173544
[0.1125 0.    ],0.9995399700125217,0.022763407599925383
[0.11083333 0.        ],0.9995525939456318,0.02242619611112423
[0.10916667 0.        ],0.9995648043470966,0.022089017000079095
[0.1075 0.    ],0.9995766047827687,0.021751867046685195
[0.10583333 0.        ],0.9995879990687363,0.021414743161587705
[0.10416667 0.        ],0.9995989912899096,0.021077642386166703
[0.1025 0.    ],0.9996095858204139,0.020740561892518515
[0.10083333 0.        ],0.999619787346089,0.020403498983439856
[0.09916667 0.        ],0.9996296008892879,0.02006645109241051
[0.0975 0.    ],0.9996390318362748,0.019729415783577536
[0.09583333 0.        ],0.9996480859675189,0.019392390751737557
[0.09416667 0.        ],0.9996567694912681,0.019055373822321104
[0.0925 0.    ],0.9996650890807827,0.018718362951375193
[0.09083333 0.        ],0.9996730519157382,0.01838135622554743
[0.08916667 0.        ],0.9996806657283156,0.018044351862069537
[0.0875 0.    ],0.999687938854617,0.01770734820874169
[0.08583333 0.        ],0.9996948802921084,0.017370343743915707
[0.08416667 0.        ],0.9997014997639619,0.01703333707647961
[0.0825 0.    ],0.9997078077912505,0.01669632694584238
[0.08083333 0.        ],0.9997138157741133,0.01635931222191803
[0.07916667 0.        ],0.9997195360832515,0.01602229190511073
[0.0775 0.    ],0.999724982163279,0.015685265126300377
[0.07583333 0.        ],0.9997301686497745,0.015348231146828501
[0.07416667 0.        ],0.9997351115021463,0.01501118935848384
[0.0725 0.    ],0.99973982815491,0.014674139283488936
[0.07083333 0.        ],0.9997443376904012,0.01433708057448899
[0.06916667 0.        ],0.9997486610364614,0.014000013014537956
[0.0675 0.    ],0.9997528211935565,0.013662936517089597
[0.06583333 0.        ],0.9997564387348673,0.013325824319875472
[0.06416667 0.        ],0.9997583931043276,0.012988604492819345
[0.0625 0.    ],0.999760464875147,0.012651395156836364
[0.06083333 0.        ],0.9997626864375634,0.012314195639710483
[0.05916667 0.        ],0.9997650909584743,0.011977005228392238
[0.0575 0.    ],0.999767712566621,0.011639823173207383
[0.05583333 0.        ],0.9997705865710695,0.011302648692069373
[0.05416667 0.        ],0.9997737497200304,0.010965480974690966
[0.0525 0.    ],0.9997772405091107,0.010628319186800064
[0.05083333 0.        ],0.9997810995501574,0.010291162474353218
[0.04916667 0.        ],0.9997853700152456,0.009954009967753497
[0.0475 0.    ],0.9997900981741134,0.00961686078606783
[0.04583333 0.        ],0.9997953340489185,0.009279714041247153
[0.04416667 0.        ],0.9998011322172355,0.008942568842347585
[0.0425 0.    ],0.9998075528039597,0.008605424299752609
[0.04083333 0.        ],0.999814662716199,0.00826827952940019
[0.03916667 0.        ],0.9998225371933158,0.007931133657009823
[0.0375 0.    ],0.9998312617703514,0.0075939858223158
[0.03583333 0.        ],0.9998409347892372,0.007256835183303883
[0.03416667 0.        ],0.9998516706449239,0.006919680920455577
[0.0325 0.    ],0.9998617069768262,0.006582451525753999
[0.03083333 0.        ],0.9998696851243042,0.00624510337546726
[0.02916667 0.        ],0.9998793665834727,0.005907774670606994
[0.0275 0.    ],0.9998908862729614,0.005570460611529636
[0.02583333 0.        ],0.9999044064150212,0.005233156318307089
[0.02416667 0.        ],0.999920126299909,0.004895856839719851
[0.0225 0.    ],0.9999382963904958,0.004558557162273214
[0.02083333 0.        ],0.9999592391982434,0.004221252219257374
[0.01916667 0.        ],0.9999833810528098,0.003883936899877421
[0.0175 0.    ],1.000011302029427,0.0035466060585071448
[0.01583333 0.        ],1.0000438174167956,0.0032092325971120918
[0.01416667 0.        ],1.0000821167069411,0.00287181373621025
[0.0125 0.    ],1.0001280138111512,0.0025343762417317606
[0.01083333 0.        ],1.0001844283271664,0.0021969123810009527
[0.00916667 0.        ],1.0002563920482397,0.0018594143997847634
[0.0075 0.    ],1.0003564122640716,0.0015218878072635947
[0.00583333 0.        ],1.0004949215625563,0.0011842821972947763
[0.00416667 0.        ],1.0007072912873358,0.000846567416894939
[0.0025 0.    ],1.0008623498425875,0.0005082300967770349
[0.00083333 0.        ],1.0009961793512272,0.00016949466859912806
[ 6.66666667e-01 -2.77777778e-04],0.6240702087885577,0.019703338329476155
[ 0.66666667 -0.00083333],0.6440172615023302,0.020889987390797494
[ 0.66666667 -0.00138889],0.6629167586258259,0.022067008751012248
[ 0.66666667 -0.00194444],0.6805820937813518,0.0232098941545154
[ 0.66666667 -0.0025    ],0.696946591716158,0.024301329807570368
[ 0.66666667 -0.00305556],0.7120291701686274,0.02533079493599712
[ 0.66666667 -0.00361111],0.725904875209668,0.026293608694940754
[ 0.66666667 -0.00416667],0.7386694642010571,0.02718853852027873
[ 0.66666667 -0.00472222],0.7504266120270395,0.02801681230075154
[ 0.66666667 -0.00527778],0.7612776617595773,0.02878110081485433
[ 0.66666667 -0.00583333],0.771314325137463,0.02948455657327999
[ 0.66666667 -0.00638889],0.7806209959419568,0.03013082712193468
[ 0.66666667 -0.00694444],0.7892712715931912,0.030723478585168083
[ 0.66666667 -0.0075    ],0.7973305181477577,0.031266059616094
[ 0.66666667 -0.00805556],0.8048564020734025,0.0317619901865723
[ 0.66666667 -0.00861111],0.811899436403583,0.03221447913884386
[ 0.66666667 -0.00916667],0.8185043351492238,0.03262655660445605
[ 0.66666667 -0.00972222],0.8247105209061606,0.03300105581089887
[ 0.66666667 -0.01027778],0.8305520968137424,0.03334051998223939
[ 0.66666667 -0.01083333],0.8360603158183232,0.033647420119456345
[ 0.66666667 -0.01138889],0.8412622065143329,0.033923959719570754
[ 0.66666667 -0.01194444],0.8461824049927852,0.034172225464859686
[ 0.66666667 -0.0125    ],0.8508425811400688,0.03439411491987536
[ 0.66666667 -0.01305556],0.8552633324241884,0.034591527201930865
[ 0.66666667 -0.01361111],0.8594610075647087,0.03476594661694162
[ 0.66666667 -0.01416667],0.863451716543278,0.034918918189046994
[ 0.66666667 -0.01472222],0.8672503152240846,0.03505190876827399
[ 0.66666667 -0.01527778],0.8708700038866314,0.03516624367446598
[ 0.66666667 -0.01583333],0.874322345010796,0.035263097132749034
[ 0.66666667 -0.01638889],0.877618039503398,0.035343580657432594
[ 0.66666667 -0.01694444],0.88076867694241,0.035408957766070025
[ 0.66666667 -0.0175    ],0.8837823351599685,0.03546007991634918
[ 0.66666667 -0.01805556],0.88666674793201,0.035497778619939295
[ 0.66666667 -0.01861111],0.889429561653264,0.03552289042013176
[ 0.66666667 -0.01916667],0.892077648723771,0.035536208242235794
[ 0.66666667 -0.01972222],0.894617835241638,0.035538505659055676
[ 0.66666667 -0.02027778],0.8970564627271,0.0355305119608055
[ 0.66666667 -0.02083333],0.8993994105927413,0.035512910534231557
[ 0.66666667 -0.02138889],0.9016520538285657,0.03548633176674712
[ 0.66666667 -0.02194444],0.9038192229544678,0.03545134656471316
[ 0.66666667 -0.0225    ],0.9059051661977033,0.03540846047319529
[ 0.66666667 -0.02305556],0.9079134601888452,0.035358092629400185
[ 0.66666667 -0.02361111],0.9098475666854792,0.035300647929501876
[ 0.66666667 -0.02416667],0.9117118007278164,0.035236656297134676
[ 0.66666667 -0.02472222],0.9135094217955795,0.03516651229164596
[ 0.66666667 -0.02527778],0.9152436572424112,0.03509060782693207
[ 0.66666667 -0.02583333],0.9169180177987748,0.03500936566626621
[ 0.66666667 -0.02638889],0.9185353652982987,0.03492314666223614
[ 0.66666667 -0.02694444],0.9200976724400759,0.03483218923064021
[ 0.66666667 -0.0275    ],0.9216067986803795,0.03473671910819313
[ 0.66666667 -0.02805556],0.923065766287215,0.03463710767616102
[ 0.66666667 -0.02861111],0.9244771314372787,0.03453366797429035
[ 0.66666667 -0.02916667],0.9258431404145679,0.03442667446408901
[ 0.66666667 -0.02972222],0.9271657260841452,0.03431636288504482
[ 0.66666667 -0.03027778],0.9284441915077611,0.03420264670529463
[ 0.66666667 -0.03083333],0.9296804443123994,0.034085761749960294
[ 0.66666667 -0.03138889],0.9308796519093248,0.03396634040616514
[ 0.66666667 -0.03194444],0.932042865635706,0.033844509691184445
[ 0.66666667 -0.0325    ],0.9331712179562238,0.03372040429400561
[ 0.66666667 -0.03305556],0.9342661805596014,0.03359419134018616
[ 0.66666667 -0.03361111],0.9353286439146921,0.03346598057656114
[ 0.66666667 -0.03416667],0.9363595751916145,0.03333588868617822
