x,y,alpha,std_alpha,c
0.6666666666666667,-0.24583333333333088,0.853825916326447,0.05709257023109282,0.0021523808477781417
0.6666666666666667,-0.2461666666666642,0.853836469974401,0.05709039864784771,0.002142458627803981
0.6666666666666667,-0.24649999999999753,0.8538469467283052,0.05708825038065906,0.002132556823019863
0.6666666666666667,-0.24683333333333085,0.8538573455296005,0.057086125665610554,0.002122675337717362
0.6666666666666667,-0.24716666666666418,0.8538676652469905,0.05708402474655769,0.0021128140761539236
0.6666666666666667,-0.2474999999999975,0.853877904674557,0.057081947875234185,0.0021029729425507855
0.6666666666666667,-0.24783333333333082,0.8538880625298483,0.05707989531136342,0.0020931518410909206
0.6666666666666667,-0.24816666666666415,0.853898137451912,0.05707786732276365,0.002083350675916953
0.6666666666666667,-0.24849999999999747,0.8539081279992929,0.05707586418546849,0.002073569351129158
0.6666666666666667,-0.2488333333333308,0.8539180326479698,0.057073886183838414,0.0020638077707833213
0.6666666666666667,-0.24916666666666412,0.8539278497892635,0.05707193361068147,0.0020540658388887487
0.6666666666666667,-0.24949999999999745,0.8539375777276753,0.057070006767375225,0.0020443434594061526
0.6666666666666667,-0.24983333333333077,0.853947214678694,0.05706810596398857,0.002034640536245639
0.6666666666666667,-0.2501666666666641,0.8539567555749424,0.05706617097565609,0.002024956713771067
0.6666666666666667,-0.25049999999999745,0.8539662336950523,0.057064191926050334,0.002015292000949482
0.6666666666666667,-0.2508333333333308,0.853975663334715,0.057062225939834066,0.0020056465987456766
0.6666666666666667,-0.25116666666666415,0.8539850441277398,0.05706027292937614,0.0019960204143045996
0.6666666666666667,-0.2514999999999975,0.8539943757160897,0.05705833280689111,0.001986413355000278
0.6666666666666667,-0.25183333333333086,0.8540036577499223,0.05705640548444502,0.0019768253284343975
0.6666666666666667,-0.2521666666666642,0.8540128898876165,0.057054490873961056,0.0019672562424348713
0.6666666666666667,-0.25249999999999756,0.8540220717958076,0.05705258888721844,0.0019577060050544144
0.6666666666666667,-0.2528333333333309,0.8540312031494159,0.057050699435865763,0.0019481745245690935
0.6666666666666667,-0.25316666666666426,0.8540402836316828,0.05704882243141702,0.001938661709476949
0.6666666666666667,-0.2534999999999976,0.8540493129341951,0.057046957785264196,0.0019291674684964947
0.6666666666666667,-0.25383333333333097,0.8540582907569175,0.05704510540868011,0.0019196917105653458
0.6666666666666667,-0.2541666666666643,0.8540672168082245,0.05704326521281763,0.0019102343448387773
0.6666666666666667,-0.2544999999999977,0.8540760908049227,0.05704143710872311,0.0019007952806882613
0.6666666666666667,-0.254833333333331,0.854084912472283,0.057039621007337046,0.0018913744277000806
0.6666666666666667,-0.2551666666666644,0.8540936815440682,0.05703781681949956,0.0018819716956738643
0.6666666666666667,-0.25549999999999773,0.8541023977625559,0.05703602445595838,0.0018725869946211858
0.6666666666666667,-0.2558333333333311,0.854111060878569,0.057034243827367805,0.0018632202347640982
0.6666666666666667,-0.25616666666666443,0.8541196706514949,0.0570324748443016,0.00185387132653372
0.6666666666666667,-0.2564999999999978,0.8541282268493173,0.05703071741725529,0.0018445401805688205
0.6666666666666667,-0.25683333333333114,0.8541367292486333,0.057028971456650084,0.0018352267077143434
0.6666666666666667,-0.2571666666666645,0.8541451776346807,0.05702723687283858,0.0018259308190200253
0.6666666666666667,-0.25749999999999784,0.8541535718013575,0.057025513576115176,0.0018166524257389155
0.6666666666666667,-0.2578333333333312,0.8541619115512452,0.05702380147671444,0.0018073914393259805
0.6666666666666667,-0.25816666666666455,0.8541701966956295,0.057022100484823306,0.0017981477714366467
0.6666666666666667,-0.2584999999999979,0.8541784270545184,0.05702041051058257,0.0017889213339253695
0.6666666666666667,-0.25883333333333125,0.854186602456662,0.05701873146409539,0.001779712038844212
0.6666666666666667,-0.2591666666666646,0.8541947227395731,0.057017063255431315,0.0017705197984414023
0.6666666666666667,-0.25949999999999795,0.8542027877495397,0.05701540579463383,0.0017613445251598915
0.6666666666666667,-0.2598333333333313,0.8542107973416492,0.05701375899172521,0.0017521861316359439
0.6666666666666667,-0.26016666666666466,0.8542187513797924,0.057012122756715175,0.0017430445306976432
0.6666666666666667,-0.260499999999998,0.8542266497366916,0.05701049699960109,0.0017339196353635495
0.6666666666666667,-0.26083333333333136,0.8542344922939029,0.05700888163038195,0.0017248113588411748
0.6666666666666667,-0.2611666666666647,0.854242278941837,0.0570072765590624,0.0017157196145255926
0.6666666666666667,-0.26149999999999807,0.8542500095797667,0.05700568169565305,0.0017066443159980014
0.6666666666666667,-0.2618333333333314,0.8542576841158387,0.05700409695018628,0.0016975853770242728
0.6666666666666667,-0.26216666666666477,0.8542653024670833,0.05700252223271835,0.0016885427115535126
0.6666666666666667,-0.2624999999999981,0.8542728645594257,0.05700095745333484,0.001679516233716653
0.6666666666666667,-0.2628333333333315,0.8542803703276889,0.05699940252215787,0.0016705058578249717
0.6666666666666667,-0.26316666666666483,0.854287819715605,0.056997857349359235,0.0016615114983686912
0.6666666666666667,-0.2634999999999982,0.8542952126758162,0.056996321845156704,0.0016525330700155254
0.6666666666666667,-0.26383333333333153,0.8543025491698849,0.05699479591982994,0.0016435704876092345
0.6666666666666667,-0.2641666666666649,0.8543098291682903,0.05699327948372624,0.0016346236661682078
0.6666666666666667,-0.26449999999999824,0.8543170526504352,0.056991772447261876,0.0016256925208839978
0.6666666666666667,-0.2648333333333316,0.8543242196046449,0.056990274720934875,0.0016167769671199146
0.6666666666666667,-0.26516666666666494,0.8543313300281669,0.056988786215335346,0.0016078769204095516
0.6666666666666667,-0.2654999999999983,0.8543383839271681,0.05698730684114593,0.0015989922964553755
0.6666666666666667,-0.26583333333333165,0.8543453813167339,0.056985836509150546,0.0015901230111272633
0.6666666666666667,-0.266166666666665,0.8543523222208597,0.05698437513025231,0.0015812689804610717
0.6666666666666667,-0.26649999999999835,0.8543592066724509,0.056982922615466884,0.0015724301206572287
0.6666666666666667,-0.2668333333333317,0.8543660347133092,0.05698147887594073,0.0015636063480792245
0.6666666666666667,-0.26716666666666505,0.8543728063941265,0.056980043822953096,0.0015547975792522331
0.6666666666666667,-0.2674999999999984,0.8543795217744768,0.056978617367933235,0.001546003730861649
0.6666666666666667,-0.26783333333333176,0.8543861809228006,0.056977199422458234,0.0015372247197516478
0.6666666666666667,-0.2681666666666651,0.8543927839163928,0.05697578989826937,0.0015284604629237414
