x,y,alpha,c
0.9966666666666667,0.0,0.9997140908936999,0.0006748457839158602
0.99,0.0,0.9998470194062925,0.002025570129198983
0.9833333333333333,0.0,0.9998749885568102,0.003376094490483221
0.9766666666666666,0.0,0.9998748417483113,0.004726301902475867
0.9699999999999999,0.0,0.9998655959510581,0.006076146222915435
0.9633333333333332,0.0,0.9998587188333513,0.007425876898466544
0.9566666666666664,0.0,0.9998500183405563,0.00877536838736495
0.9499999999999997,0.0,0.9998377481472074,0.010124531802362814
0.943333333333333,0.0,0.9998221389605723,0.011473370211908699
0.9366666666666663,0.0,0.9998027256019473,0.012821874579602863
0.9299999999999996,0.0,0.9997792208066464,0.014170061963215996
0.9233333333333329,0.0,0.9997514382978773,0.015517975521162986
0.9166666666666662,0.0,0.9997192528938607,0.01686568451906941
0.9099999999999995,0.0,0.9996825784466353,0.018213284336363544
0.9033333333333328,0.0,0.9996413294325432,0.019560893986936192
0.8966666666666661,0.0,0.9995948182949749,0.020908593454447823
0.8899999999999993,0.0,0.9995435169224767,0.02225659829313164
0.8833333333333326,0.0,0.9994878736299722,0.02360516195157536
0.8766666666666659,0.0,0.9994293147115172,0.024954712533172232
0.8699999999999992,0.0,0.9993684532526543,0.026305671640695482
0.8633333333333325,0.0,0.9993097163158438,0.027658914838317804
0.8566666666666658,0.0,0.9992367538782152,0.029013430303815254
0.8499999999999991,0.0,0.9991522993892921,0.03036980549963724
0.8433333333333324,0.0,0.9990468658005972,0.03172752782318566
0.8366666666666657,0.0,0.9989307538009482,0.03308857790536198
0.829999999999999,0.0,0.9988086152416517,0.034454204713369053
0.8233333333333323,0.0,0.9986808687799792,0.035825515788897914
0.8166666666666655,0.0,0.9985415966293665,0.03720286758604504
0.8099999999999988,0.0,0.9983831289418028,0.03858661052447555
0.8033333333333321,0.0,0.9981968436566296,0.03997718901640993
0.7966666666666654,0.0,0.997972849973314,0.04137503602164146
0.7899999999999987,0.0,0.9977029183186685,0.04278114184953381
0.783333333333332,0.0,0.9973776769261088,0.044196483671740686
0.7766666666666653,0.0,0.9969887424279121,0.045622450713080444
0.7699999999999986,0.0,0.9965311617249324,0.04706148782931677
0.7633333333333319,0.0,0.9960027792681934,0.0485180719427043
0.7566666666666652,0.0,0.9953562863453962,0.04998983976349156
0.7499999999999984,0.0,0.9945415603391409,0.051474200508228776
0.7433333333333317,0.0,0.9935160447162198,0.05297094098672397
0.736666666666665,0.0,0.992232908058571,0.05448108146114341
0.7299999999999983,0.0,0.9905824157945645,0.0559953954664751
0.7233333333333316,0.0,0.9883970804565263,0.05749583955188738
0.7166666666666649,0.0,0.9854734749945492,0.05895926496923
0.7099999999999982,0.0,0.9814728200750573,0.0603392998223228
0.7033333333333315,0.0,0.975803025000104,0.06154057825121125
0.6966666666666648,0.0,0.9674853192912071,0.0623929592105166
0.6899999999999981,0.0,0.9546429797984638,0.06254870777789631
0.6833333333333313,0.0,0.9333778794995006,0.0612768048668119
0.6766666666666646,0.0,0.8939513424678149,0.056856418492296584
0.6699999999999979,0.0,0.8037482117545246,0.044717030457346305
0.33000000000000007,0.0,0.803748044078909,0.04471700112674543
0.3233333333333334,0.0,0.8939509513485442,0.056856337149554154
0.31666666666666676,0.0,0.9333775665982742,0.06127672434220749
0.3100000000000001,0.0,0.95464244839942,0.06254858304464694
0.30333333333333345,0.0,0.9674858884497817,0.062393077692861884
0.2966666666666668,0.0,0.9758040408843316,0.06154079506239964
0.29000000000000015,0.0,0.981473813820728,0.060339462205226686
0.2833333333333335,0.0,0.985472516091279,0.058959108328442277
0.27666666666666684,0.0,0.988398976633167,0.05749625088811942
0.2700000000000002,0.0,0.9905810735972024,0.05599514431632547
0.26333333333333353,0.0,0.9922310977103798,0.05448074931404251
0.2566666666666669,0.0,0.9935171942125945,0.05297115545972985
0.2500000000000002,0.0,0.9945423787457844,0.051474319274148056
0.24333333333333354,0.0,0.9953564018742888,0.04998973453669754
0.23666666666666686,0.0,0.9960026383857589,0.04851811192381632
0.23000000000000018,0.0,0.9965282913648529,0.047060925173679304
0.2233333333333335,0.0,0.9969831226129522,0.045621503683315745
0.2166666666666668,0.0,0.997372983175353,0.04419580772889251
0.21000000000000013,0.0,0.9977001951668588,0.042780784070229574
0.20333333333333345,0.0,0.9979726173248955,0.041375023016158495
0.19666666666666677,0.0,0.9981985480276028,0.039977392915094404
0.19000000000000009,0.0,0.9983874269805803,0.038587192974955054
0.1833333333333334,0.0,0.9985466838495515,0.03720354365460386
0.17666666666666672,0.0,0.9986854551019041,0.03582612725008233
0.17000000000000004,0.0,0.9988111624778787,0.03445455106403128
0.16333333333333336,0.0,0.9989300340950028,0.03308849735719656
0.15666666666666668,0.0,0.9990439350904919,0.03172721441063366
0.15,0.0,0.9991481319061516,0.030369310772346014
0.1433333333333333,0.0,0.9992342893514129,0.029013174708661642
0.13666666666666663,0.0,0.999308921912742,0.027658952374090984
0.12999999999999995,0.0,0.9993817307691675,0.02630700414866003
0.12333333333333328,0.0,0.9994476240166675,0.02495631532537654
0.11666666666666661,0.0,0.9995065796420965,0.023606600286565048
0.10999999999999995,0.0,0.9995587506206145,0.02225760271270344
0.10333333333333328,0.0,0.9996043379812156,0.020909099775759332
0.09666666666666661,0.0,0.9996436056262932,0.01956090212200555
0.08999999999999994,0.0,0.9996769019436126,0.018212853854837053
0.08333333333333327,0.0,0.9997046920172905,0.01686483251775006
0.0766666666666666,0.0,0.9997276068909604,0.015516749077717563
0.06999999999999994,0.0,0.999746521251039,0.014168547909347433
