Lambda,flux
3.0517578125e-05,0.9794200726469728
6.103515625e-05,0.9793781025096899
0.0001220703125,0.9792960527911285
0.000244140625,0.9791370975740633
0.00048828125,0.9788336878643451
0.0009765625,0.978267755602614
0.001953125,0.9772470516062848
0.00390625,0.9754778153770736
0.0078125,0.9725087361734066
0.015625,0.9676016799888246
0.03125,0.959518663423381
0.0625,0.946214903592349
0.125,0.9244063442716113
0.25,0.8890334940245861
0.5,0.8329289866880158
1.0,0.7477104168763852
2.0,0.6280784075756347
4.0,0.48057016157426147
8.0,0.3289762187891808
16.0,0.2022659717343183
32.0,0.11436306950336005
64.0,0.06120126538744781
128.0,0.031717933496291595
256.0,0.016154215201930562
512.0,0.008153044667188128
