Lambda,flux
0,0.9793411998009508
3.814697265625e-06,0.9793029642418427
5.998616470409359e-06,0.9793098045201858
9.432832294011912e-06,0.9793193156281635
1.4833141196120132e-05,0.9793203893427231
2.3325134051594418e-05,0.9793492240900159
3.6678803992451604e-05,0.9793087927199049
5.767746754813277e-05,0.9792795068340701
9.069789362408131e-05,0.97925938715964
0.00014262255708401815,0.9791825030737891
0.00022427415870861217,0.979096281647626
0.0003526714097183447,0.978960457061757
0.0005545762559043692,0.9787161996918308
0.0008720718922425052,0.9783642480743512
0.0013713341982145094,0.9778326020155639
0.002156424831394164,0.9770434964333565
0.0033909808852633496,0.9759158857308078
0.00533232190467186,0.9743278984259034
0.008385083212533393,0.972111758535954
0.013185554386637493,0.9690364171914441
0.020734301625427436,0.9647784491803997
0.03260471659271931,0.9588790720134819
0.051270959750477345,0.9507101098055499
0.08062365168118224,0.9394157393050124
0.1267807983709158,0.923839763973626
0.19936297228420347,0.9024712400990362
0.31349853628236757,0.8733945092333211
0.4929768608740492,0.8343354270200242
0.7752067624913533,0.7828827566087228
1.2190136542044745,0.7170632586623137
1.9169005754816555,0.6363559071377702
3.014328677622457,0.5429671553596983
4.7400358124750985,0.44262366518627727
7.45371255309424,0.3437231757074843
11.720972798967965,0.2546888918174555
18.43124515139992,0.18110088999047907
28.98315725644495,0.12456575228144848
45.57605292814505,0.08356577905018334
71.6684032084593,0.05506774334500835
112.6986583622819,0.035848414207163226
177.21878858826253,0.02314678336932776
278.67677827833415,0.01486800185599486
438.21960058661307,0.009516949766224586
689.1008986277656,0.006082402398542261
1083.6120699620308,0.003882237415908278
1703.981406069352,0.0024872162484320744
2679.513003515947,0.0015941286013017781
4213.537724318826,0.001019369103014261
6625.793616587018,0.000648530638408901
10419.069181753315,0.0004125289557887583
16384.0,0.0002623602800700356
