Lambda,flux
0.0041152263374485566,0.9753033360349914
0.005926940483698594,0.9738744025594588
0.008536255509845199,0.9720095211427933
0.012294312441600702,0.9695818718137914
0.0177068409254351,0.9664246260855571
0.02550221633360749,0.9623192362622467
0.03672947877404256,0.9569812674660932
0.05289950462991815,0.9500433692469261
0.07618832838075518,0.941035051879118
0.10972997615124863,0.9293596678263597
0.15803821821604647,0.9142707008569919
0.22761399658445577,0.8948541123874169
0.3278202704761211,0.8700256304973952
0.47214200948825297,0.8385608473964847
0.6800008943920484,0.7991856524409151
0.9793689336714071,0.7507677270998605
1.4105327156932708,0.6926338723582401
2.0315148598623765,0.6250003400363113
2.9258822428753253,0.5494078795409408
4.213991769547324,0.4689279445069157
