Lambda,flux,DL_p/Lambda
1e-05,0.9812991672713866,177777.77777777775
0.0001,0.9811912886378421,17777.777777777777
0.001,0.9801752479789982,1777.7777777777776
0.002,0.9790791908281946,888.8888888888888
0.005,0.9758961109511138,355.55555555555554
0.01,0.9708322012545368,177.77777777777777
0.02,0.9613460308131192,88.88888888888889
0.05,0.9362861178594774,35.55555555555555
0.08,0.9145872491053656,22.22222222222222
0.1,0.9014161863130433,17.777777777777775
0.2,0.8454500121810984,8.888888888888888
0.4,0.7606115230796349,4.444444444444444
0.8,0.6416333622243356,2.222222222222222
1.0,0.5965053393971577,1.7777777777777777
