Lambda,flux,DL_p/Lambda
1e-05,0.9812991672713866,177777.77777777775
1e-05,0.9812991672713866,177777.77777777775
0.001,0.9801752479789982,1777.7777777777776
0.01,0.9708322012545368,177.77777777777777
0.1,0.9014161863130433,17.777777777777775
0.2,0.8454500121810984,8.888888888888888
0.5,0.7260821094053157,3.5555555555555554
1.0,0.5965053393971577,1.7777777777777777
1.5,0.508559372646082,1.1851851851851851
2.0,0.443905939279758,0.8888888888888888
2.5,0.3941055907767946,0.711111111111111
5.0,0.25307694016302745,0.3555555555555555
10.0,0.14774813787075092,0.17777777777777776
15.0,0.10435865297478966,0.11851851851851851
20.0,0.0806735298603133,0.08888888888888888
40.0,0.04228890175105612,0.04444444444444444
60.0,0.028655526735757973,0.029629629629629627
100.0,0.017422325943714314,0.017777777777777778
200.0,0.008799109140374736,0.008888888888888889
400.0,0.004421883088885899,0.0044444444444444444
600.0,0.002952918322630881,0.002962962962962963
1000.0,0.0017741566862552582,0.0017777777777777776
