Lambda,flux,DL_p/Lambda
0.012345679012345675,0.9680741938030113,256.00000000000006
0.01652968026203051,0.9650012284351537,191.20114709177426
0.022131656694761862,0.9612032571659741,142.80421347347763
0.029632165915508712,0.9565206067941445,106.6575368190137
0.03967462847243862,0.9507559902052232,79.66032572569752
0.053120522776305294,0.9436672593112535,59.496662720538005
0.07112328580438315,0.9349593726113531,44.436836563669
0.09522725905604887,0.9242766819274887,33.18896142227815
0.1275001676985091,0.9111961396107378,24.78815427626649
0.17071049743834185,0.8952235589337632,18.513763796523513
0.22856498514226561,0.8757950066065121,13.827550292505688
0.30602659600329,0.8522874596718181,10.327513583579238
0.4097402644725698,0.824045156960717,7.713407983539957
0.5486029205391234,0.7904302195610226,5.760986150155035
0.7345267002535554,0.7509049460823344,4.302762344880731
0.9834608114283645,0.7051493743524185,3.2136449062675276
1.3167597138149842,0.6532072068070145,2.400205439156205
1.7630149811540443,0.5956366219783468,1.7926641922757114
2.360507988787337,0.5336179683173813,1.3389041012244711
3.1604938271604937,0.4689540633595906,0.9999999999999999
