Lambda,flux
0,0.9925265776206451
3.0517578125e-05,0.9924900037265125
6.103515625e-05,0.9924539791640986
0.0001220703125,0.9923823299961312
0.000244140625,0.9922412601927963
0.00048828125,0.9919632277453709
0.0009765625,0.991418223318082
0.001953125,0.9903566165258626
0.00390625,0.9883072423004733
0.0078125,0.9844051284271673
0.015625,0.9771331724908545
0.03125,0.9640009973091326
0.0625,0.9411890371159007
0.125,0.9030578346582607
0.25,0.8417845207764407
0.5,0.748949419570387
1.0,0.6210890111164097
2.0,0.4680195352314622
4.0,0.3156159122787836
8.0,0.19171497517278308
16.0,0.10750944130494161
32.0,0.05725153346280981
64.0,0.029590750981774695
128.0,0.015049378505667317
256.0,0.007589884232536224
512.0,0.0038114594878409856
0.04000000000000001,0.9572338157867711
1.9599999999999997,0.47262400591390263
