Lambda,flux
0,0.9925265884382983
0.04000000000000001,0.9572337972037885
0.049092786099192424,0.9505412453089483
0.06025254117452652,0.9427187063572523
0.07394912789534536,0.9336051551118794
0.09075921794970031,0.9230211168360514
0.11139057183336556,0.9107678756391274
0.13671183791205357,0.8966294970067745
0.16778912539609778,0.880376572394856
0.20593089107103005,0.8617730797960235
0.2527430296641543,0.8405871083941351
0.31019648733410426,0.8166045185886279
0.3807102450353508,0.7896456022021889
0.4672531656322902,0.7595843596689135
0.5734689928639137,0.7263698188499419
0.7038297650296854,0.6900485161906705
0.8638241026211801,0.6507867221908719
1.060188297432711,0.6088887629405847
1.3011899327682768,0.5648081056754262
1.5969759760953892,0.5191446458500701
1.9599999999999997,0.47262400890378886
