Lambda,flux
0,0.9922592787174691
3.0517578125e-05,0.9922179922495578
6.103515625e-05,0.9921784603953345
0.0001220703125,0.9921019739705659
0.000244140625,0.9919555223016583
0.00048828125,0.9916802708311685
0.0009765625,0.9911746862167481
0.001953125,0.9902732264622471
0.00390625,0.9887062723754348
0.0078125,0.9860106513173719
0.015625,0.9813808470873275
0.03125,0.9734455026115771
0.0625,0.9598864721184339
0.125,0.9369109541540427
0.25,0.8987087364706963
0.5,0.8372511839823689
1.0,0.744062575996625
2.0,0.6158598484549581
4.0,0.4628682919786475
8.0,0.31125802023835786
16.0,0.18861074425387309
32.0,0.10559034793312141
64.0,0.05617227054553768
128.0,0.02901653359418293
256.0,0.014752946543133381
512.0,0.007439246011058638
0.0016000000000000003,0.9905861471836248
3.8415999999999992,0.4720531873608831
