Lambda,flux
0,0.9793482396993457
6.103515625e-05,0.9792705509222113
0.00011918722591775162,0.979208805097544
0.0002327444655631431,0.979086532202321
0.0004544948993749926,0.978831769949893
0.0008875210547244746,0.9783459343545833
0.001733118729522498,0.9774614601904625
0.0033843710125323824,0.9759227551091924
0.00660887621566771,0.9733680276464999
0.012905572312338322,0.9692069130486282
0.025201530679927583,0.9624694673666204
0.04921262949370557,0.9515636045509666
0.096100627078724,0.9339547577536603
0.1876617977932919,0.9057262561929873
0.3664591108459812,0.8611764175426498
0.7156079793605566,0.7929757000145659
1.3974131491568438,0.6942422190888399
2.7288174052801497,0.5643472275513375
5.3287350529461195,0.41654320291943536
10.405759362848052,0.2767598087371999
20.319987171746284,0.16749028976622954
39.68012946120277,0.09463178004770907
77.4859088615509,0.05117666486372627
151.31165532035448,0.026983134103130503
295.4758790620128,0.014030866525686674
576.994514550954,0.007242321388618066
1126.7338331600977,0.0037239300849803546
2200.244714242493,0.0019110035961020025
4296.557589803154,0.0009796686608984431
8390.16087755979,0.0005019599267297672
16384.0,0.0002571237166255618
