alpha,c
3.4371459884129845,0.041584857728057506
3.387931055815186,0.03665600032927934
3.3855494025419985,0.03643288993831141
3.348165150907999,0.033882927236286366
3.3001133341597835,0.029956126502118614
3.3001133341597835,0.029956126502118614
3.3481043949415947,0.033877569212836064
3.295358235302077,0.029593125928218306
3.295358235302077,0.029593125928218306
3.322736946935701,0.03325586626858051
3.2710715803958745,0.02913064458647468
3.2710715803958745,0.02913064458647468
3.24036849983496,0.02751188684652455
3.1945864430231024,0.024465381616297778
3.1849629443417666,0.02386922496007831
3.24036849983496,0.02751188684652455
3.1945864430231024,0.024465381616297778
3.1849629443417666,0.02386922496007831
3.3227246549735745,0.033256833873200574
3.273382961665217,0.029305533785107567
3.273382961665217,0.029305533785107567
3.227105524196026,0.026686043117676278
3.1817234670315533,0.023755332520564856
3.1712575749133416,0.023126484235825643
3.227105524196026,0.026686043117676278
3.1817234670315533,0.023755332520564856
3.1712575749133416,0.023126484235825643
3.3100039100904963,0.03451575032047597
3.2583286512264755,0.030233479727975084
3.2583286512264755,0.030233479727975084
3.2212511252810456,0.02813768620416158
3.175704594588367,0.02503699525187966
3.1656610869516513,0.024400624485614787
3.2212511252810456,0.02813768620416158
3.175704594588367,0.02503699525187966
3.1656610869516513,0.024400624485614787
3.204004173701962,0.028062319274257414
3.1550038415521375,0.024749836153184074
3.1522070355777854,0.024573028924620186
3.1210873812586972,0.023186446207851066
3.0728229851876034,0.020488127170955012
3.0728229851876034,0.020488127170955012
3.108492743945171,0.02252349628615681
3.0527107362189714,0.019522464841687896
3.0527107362189714,0.019522464841687896
3.204004173701962,0.028062319274257414
3.1550038415521375,0.024749836153184074
3.1522070355777854,0.024573028924620186
3.1210873812586972,0.023186446207851066
3.0728229851876034,0.020488127170955012
3.0728229851876034,0.020488127170955012
3.108492743945171,0.02252349628615681
3.0527107362189714,0.019522464841687896
3.0527107362189714,0.019522464841687896
3.3101013882105748,0.034522319567025984
3.261047728140204,0.030443134478986885
3.261047728140204,0.030443134478986885
3.2210432027600446,0.028123477882559512
3.175444781747351,0.025021024199578433
3.165372095966109,0.024383235534088096
3.2210432027600446,0.028123477882559512
3.175444781747351,0.025021024199578433
3.165372095966109,0.024383235534088096
3.1869052609729707,0.027139109078852624
3.1378455327021277,0.02393195781527987
3.135096213585505,0.02376388590658796
3.1047207432615522,0.022461514068696106
3.058974072279983,0.019976069471294336
3.058974072279983,0.019976069471294336
3.090799817811426,0.021752731946469202
3.0378025805231545,0.018989471968983557
3.0378025805231545,0.018989471968983557
3.1869052609729707,0.027139109078852624
3.1378455327021277,0.02393195781527987
3.135096213585505,0.02376388590658796
3.1047207432615522,0.022461514068696106
3.058974072279983,0.019976069471294336
3.058974072279983,0.019976069471294336
3.090799817811426,0.021752731946469202
3.0378025805231545,0.018989471968983557
3.0378025805231545,0.018989471968983557
3.3097743091339855,0.03786406463235086
3.25812972847438,0.033168986595929775
3.25812972847438,0.033168986595929775
3.2211937578189467,0.030880344880805786
3.1755999495558562,0.027474091081206256
3.1657234326496284,0.02678724044762617
3.2211937578189467,0.030880344880805786
3.1755999495558562,0.027474091081206256
3.1657234326496284,0.02678724044762617
3.195627299589411,0.030299680672502004
3.1466821862955006,0.02672688176919835
3.14382187954623,0.02653163181137645
3.1131328069225637,0.025059641196742297
3.0648824501132474,0.022144126309914428
3.0648824501132474,0.022144126309914428
3.099943729190139,0.024309770128423003
3.0441609711758764,0.021070694968304278
3.0441609711758764,0.021070694968304278
3.195627299589411,0.030299680672502004
3.1466821862955006,0.02672688176919835
3.14382187954623,0.02653163181137645
3.1131328069225637,0.025059641196742297
3.0648824501132474,0.022144126309914428
3.0648824501132474,0.022144126309914428
3.099943729190139,0.024309770128423003
3.0441609711758764,0.021070694968304278
3.0441609711758764,0.021070694968304278
3.1921272371106597,0.031879258450414616
3.1428664981574137,0.02809746060384173
3.140500837794739,0.02792758753099909
3.103184779334956,0.025977074266615698
3.0550839436182256,0.022963622389133787
3.0550839436182256,0.022963622389133787
3.102958209611107,0.025963110411303978
3.047338052082913,0.022513123223434985
3.047338052082913,0.022513123223434985
3.085468396584747,0.025882691805926557
3.0338841592197014,0.02267679062714452
3.0338841592197014,0.02267679062714452
3.002635340272334,0.021389313482628285
2.9568707481123537,0.019021637738849538
2.9471773130625953,0.018554803980252967
3.002635340272334,0.021389313482628285
2.9568707481123537,0.019021637738849538
2.9471773130625953,0.018554803980252967
3.069500945828802,0.02508873952968409
3.0176514857832757,0.02196623998436326
3.0176514857832757,0.02196623998436326
2.973303955279556,0.020104953554223554
2.9279595112265833,0.017898716065935825
2.9174670328731573,0.01742371592238924
2.973303955279556,0.020104953554223554
2.9279595112265833,0.017898716065935825
2.9174670328731573,0.01742371592238924
3.1921272371106597,0.031879258450414616
3.1428664981574137,0.02809746060384173
3.140500837794739,0.02792758753099909
3.103184779334956,0.025977074266615698
3.0550839436182256,0.022963622389133787
3.0550839436182256,0.022963622389133787
3.102958209611107,0.025963110411303978
3.047338052082913,0.022513123223434985
3.047338052082913,0.022513123223434985
3.085468396584747,0.025882691805926557
3.0338841592197014,0.02267679062714452
3.0338841592197014,0.02267679062714452
3.002635340272334,0.021389313482628285
2.9568707481123537,0.019021637738849538
2.9471773130625953,0.018554803980252967
3.002635340272334,0.021389313482628285
2.9568707481123537,0.019021637738849538
2.9471773130625953,0.018554803980252967
3.069500945828802,0.02508873952968409
3.0176514857832757,0.02196623998436326
3.0176514857832757,0.02196623998436326
2.973303955279556,0.020104953554223554
2.9279595112265833,0.017898716065935825
