Lambda,flux
3.0517578125e-05,0.9756850388401467
6.103515625e-05,0.9756370331442991
0.0001220703125,0.9755434057808999
0.000244140625,0.9753627758122747
0.00048828125,0.9750174665990604
0.0009765625,0.9743667675071862
0.001953125,0.9731679690779451
0.00390625,0.9710419724949494
0.0078125,0.9674779421139513
0.015625,0.9618785933433224
0.03125,0.9535114205049395
0.0625,0.9412629803958535
0.125,0.9233297898067516
0.25,0.8970328071156592
0.5,0.85803807006859
1.0,0.8000449822551923
2.0,0.7153799560321483
4.0,0.5983092315023281
8.0,0.45459132550976705
16.0,0.3083668963791874
32.0,0.18799779590828108
64.0,0.10561904107965198
128.0,0.05629635730352041
256.0,0.029110488310515253
512.0,0.014808183192498079
