Lambda,flux
0.037037037037037035,0.9450947655655317
0.012345679012345678,0.9631616621021961
0.00411522633744856,0.9712600375343492
0.0013717421124828531,0.9744437506809276
0.0004572473708276177,0.9756093223479174
0.00015241579027587258,0.9760213243772556
5.080526342529086e-05,0.9761640946383969
1.6935087808430286e-05,0.9762129515064827
5.645029269476762e-06,0.9762295320413041
1.8816764231589208e-06,0.9762351275100853
6.272254743863069e-07,0.9762370086642216
2.0907515812876897e-07,0.9762376391812845
6.969171937625632e-08,0.9762378503331646
2.3230573125418773e-08,0.97623792107417
7.743524375139592e-09,0.9762379447031214
2.581174791713197e-09,0.976237952484069
8.603915972377324e-10,0.9762379551047757
