Lambda,flux
0,0.9823282493940393
0.3333333333333333,0.7668706131496474
0.1111111111111111,0.8883545575254095
0.037037037037037035,0.9462849483504475
0.012345679012345678,0.9694086437009828
0.00411522633744856,0.9778419862851161
0.0013717421124828531,0.9807948791872231
0.0004572473708276177,0.9818087411976679
0.00015241579027587258,0.982153144809122
5.080526342529086e-05,0.9822694193918567
1.6935087808430286e-05,0.9823085219760537
5.645029269476762e-06,0.9823216526231886
1.8816764231589208e-06,0.98232602912434
6.272254743863069e-07,0.9823274914270865
2.0907515812876897e-07,0.9823280259742337
6.969171937625632e-08,0.9823281391782008
2.3230573125418773e-08,0.9823281503984198
7.743524375139592e-09,0.9823282097775542
2.581174791713197e-09,0.9823281886609802
8.603915972377324e-10,0.9823282034654534
