Lambda,flux
3.0517578125e-05,0.9754937990008614
6.103515625e-05,0.9754423680249257
0.0001220703125,0.9753434427657461
0.000244140625,0.9751555408085353
0.00048828125,0.9748053988365207
0.0009765625,0.9741728110276014
0.001953125,0.9730839664847855
0.00390625,0.971324134260899
0.0078125,0.968637209642862
0.015625,0.964656226357769
0.03125,0.9587922092653887
0.0625,0.9500926230959917
0.125,0.9373826706468513
0.25,0.9182562165047011
0.5,0.8897046856075643
1.0,0.8474429992070245
2.0,0.7838055769012042
4.0,0.6905024428711599
8.0,0.5647534543555743
16.0,0.4166570163450803
32.0,0.27407854965008416
64.0,0.162878056197915
128.0,0.08995114451702121
256.0,0.047457828810415326
512.0,0.02440321241804856
