Lambda,flux
0.00411522633744856,0.971157934059028
0.0013717421124828531,0.9737086508024682
0.0004572473708276177,0.9748483949350314
0.00015241579027587258,0.9752956703176816
5.080526342529086e-05,0.9754594221625843
1.6935087808430286e-05,0.9755173537227749
5.645029269476762e-06,0.9755374478861254
1.8816764231589208e-06,0.9755443297466215
6.272254743863069e-07,0.9755466667517727
2.0907515812876897e-07,0.9755474558461308
6.969171937625632e-08,0.9755477210876478
2.3230573125418773e-08,0.9755478103670548
7.743524375139592e-09,0.9755478401274302
2.581174791713197e-09,0.9755478500790365
8.603915972377324e-10,0.9755478531577395
