Lambda,flux
4.629629629629631,0.4551960767823789
9.259259259259261,0.3116311714923353
18.518518518518523,0.19177460223404524
37.037037037037045,0.10848652126947467
74.07407407407409,0.05807462239037793
148.14814814814818,0.030102225742568767
296.29629629629636,0.015332594170362245
592.5925925925927,0.007738694246709644
1185.1851851851854,0.0038877092423344473
2370.370370370371,0.0019484785641480855
4740.740740740742,0.0009753994800941155
9481.481481481484,0.00048799031833282234
18962.962962962967,0.00024406939813923547
37925.925925925934,0.00012205258762962735
75851.85185185187,6.1030724706593764e-05
