Lambda,flux
0.037037037037037035,0.9450959454087082
0.04775291865030167,0.9388147290990407
0.061569213469802916,0.9315377257788273
0.07938296033903704,0.9231327826969302
0.10235073727683436,0.9134470909266257
0.1319637536364349,0.9023083883325278
0.17014466858910643,0.8895130072961039
0.21937242198378976,0.8748407893472032
0.28284318237001227,0.8579262259481459
0.36467786191970614,0.8385023976387898
0.47018967139307744,0.8164363882658117
0.606229086462634,0.7912683993883849
0.7816286227310152,0.7625520623915748
1.0077762969725812,0.7299766049532381
1.299355007229916,0.6930392847752119
1.6752958368690334,0.6525590711635609
2.1600071769562925,0.6078392158202537
2.7849594691420645,0.5594466461794785
3.5907284603068637,0.5082345000005165
4.62962962962963,0.4551960767826026
